Ticker,Price,Debt/Eq,"Avg Volume, M",RSI,Rel Volume,ROE %,Change %,ATR/Price %,z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
CPNG,20.79,1.04,12.65,27.1,2.86,8.73,-5.37,3.944203944203944,-2.255757294672438,-2.5109722735153266,3.630172491544997,0.9679118856000236,2.297598658614715,0.1,0.08489998219278963,0.15265095057086883
PDD,107.85,0.03,7.64,35.13,2.47,29.98,-3.98,3.7181270282800187,-1.6252292326128563,-1.8959934118263517,2.80506292310428,0.7700373920330976,1.7164367709712691,0.1,0.09006223888551512,0.11403893526014389
NOW,134.61,0.21,8.37,23.62,1.86,16.81,-2.59,3.446995022658048,-2.52901229541557,-1.2810145501373773,1.5145069314405928,0.5327282971041593,1.5831379525212343,0.1,0.09714630930027451,0.10518264903710092
DT,39.98,0.03,3.33,27.54,1.49,20.57,-3.38,2.851425712856428,-2.2212078118198586,-1.6305349103778735,0.7317106742019627,0.011454486023619412,1.493306639007237,0.1,0.11743698708959008,0.0992143153825151
WDAY,193.99,0.43,2.68,26.59,1.53,7.34,-2.79,2.922831073766689,-2.295803286160656,-1.36950071728687,0.816337296606139,0.07395224069414054,1.4387286364584477,0.1,0.11456797747674947,0.09558818862704634
ARM,104.99,0.06,4.51,24.97,1.68,12.37,-2.64,4.476616820649586,-2.4230082002996998,-1.3031360919247506,1.1336871306217995,1.433907840404372,1.3874971443624804,0.1,0.07480265969671594,0.0921844018350012
EQT,50.26,0.35,8.03,33.34,1.81,8.19,-2.58,3.3824114604058897,-1.765782810581306,-1.2765902417799027,1.4087236534353724,0.476201342013821,1.2989551648121156,0.1,0.09900121512344388,0.0863017306847931
FTNT,76.39,1.35,5.46,36.96,1.86,228.04,-2.48,2.4610551119256447,-1.4815347925668994,-1.2323471582051564,1.5145069314405928,-0.330218544355953,1.2857819234939334,0.1,0.13606474841013744,0.08542650915653352
SHOP,157.51,0.09,7.59,42.81,1.36,15.74,-5.93,4.317186210399339,-1.0221837137314629,-2.758733541533906,0.45667415138839024,1.2943657242471023,1.285219297195847,0.1,0.07756506861367712,0.08538912863365715
ADBE,304.44,0.57,3.93,25.42,1.45,55.43,-1.77,3.0876363158586257,-2.387673501927743,-0.9182212648244572,0.6470840517977864,0.21819851936812112,1.2646601267860151,0.1,0.10845281321110681,0.08402319081234003
