Ticker,RSI,Rel Volume,Price,Debt/Eq,ATR/Price %,Change %,ROE %,"Avg Volume, M",z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
TCOM,28.28,4.37,61.3,0.19,4.208809135399674,-2.36,19.96,2.14,-2.076178264457572,-1.2193597104615441,6.323437524584286,1.1643144637000464,2.3016943497685434,0.1,0.09115807109532924,0.13511799550528183
BSX,30.28,3.16,90.03,0.51,2.488059535710319,-3.96,12.66,8.84,-1.9247680765834556,-2.002201028317668,3.9950631333309277,-0.31526285554012645,2.2049780989355914,0.1,0.15420327242366455,0.12944039285284945
RDDT,45.84,2.33,228.75,0.01,5.954098360655737,-9.36,15.22,4.66,-0.7467968149228306,-4.6442904760820864,2.397913757512508,2.664992048439454,2.099964098510277,0.1,0.06443745117257026,0.12327568152230893
TME,36.41,2.63,16.6,0.05,3.795180722891566,-4.93,14.47,5.34,-1.4606958507492895,-2.4767985772679433,2.9751966644348276,0.8086582904539228,1.8922965536476044,0.1,0.1010931890745685,0.11108482638284647
NOW,21.44,1.69,131.17,0.21,3.6288785545475344,-2.56,16.81,8.55,-2.59400110698705,-1.3172148751935597,1.1663768894115574,0.6656642624636152,1.5356345453991633,0.1,0.10572602985311864,0.09014744360990629
DVN,50.06,2.77,36.32,0.56,3.551762114537445,-4.22,18.35,8.08,-0.4273213185084453,-2.129412742469288,3.244595354331911,0.5993561049024733,1.4838403817183414,0.1,0.10802157070741787,0.08710693409302414
AGI,54.03,2.14,40.3,0.07,4.168734491315137,-6.26,14.27,3.02,-0.1267720955783245,-3.1275354227358463,2.0323012497950383,1.1298564958034925,1.4324822317886183,0.1,0.09203438674032628,0.08409202020054239
CTRA,50.45,4.98,25.73,0.28,3.342401865526622,1.46,11.86,8.05,-0.39779633187299257,0.6496739359199518,7.497246101993006,0.4193388170630283,1.3693581772758625,0.1,0.11478778968757693,0.08038640406832771
COIN,43.23,1.32,239.28,0.48,5.111166833834838,-6.48,26.0,9.07,-0.9443871100985529,-3.235176103941064,0.45439463754069565,1.9402018936244572,1.359705863059559,0.1,0.07506444905136753,0.07981977742260248
DOCU,31.33,1.58,59.69,0.08,4.104540123973866,-3.52,15.22,2.71,-1.845277727949545,-1.7869196659072342,0.9547064902067067,1.074659313158055,1.3547444545754084,0.1,0.09347379019406013,0.07952852434231024
