Ticker,Debt/Eq,RSI,Change %,ROE %,"Avg Volume, M",Rel Volume,Price,ATR/Price %,z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
IBN,0.62,36.99,-4.44,16.66,5.31,4.4,29.5,1.7627118644067796,-1.1015031804684914,-1.254504776297024,6.413887546903732,-0.9966674888099768,2.2070470431296747,0.1,0.1653762434605551,0.15874873375722548
GPN,0.71,29.37,-2.89,6.72,2.54,3.2,71.67,2.9859076322031535,-1.6594804278440956,-0.7153280765192596,3.976855936333154,0.05475025137889848,1.6210791386559154,0.1,0.09762882926952876,0.11660116687723909
SFM,1.3,33.28,-7.69,36.96,2.6,1.89,72.55,3.997243280496209,-1.3731692681014955,-2.385036566153627,1.3164297614602742,0.9240601933323191,1.4862519749481158,0.1,0.072927927069467,0.10690330312697659
SONY,0.21,22.81,-1.37,14.45,4.01,2.35,23.72,1.854974704890388,-2.1398387930388414,-0.18658705480170995,2.2506252121789956,-0.9173614694477262,1.3561102361247648,0.1,0.1571507501802674,0.09754245315711182
SHOP,0.09,32.35,-7.26,15.74,7.6,1.74,144.5,4.726643598615917,-1.4412688534111164,-2.235458513957215,1.0118008101389524,1.5510280543739519,1.334111935169311,0.1,0.06167392576929354,0.09596015683390496
TCOM,0.19,28.06,-2.1,19.96,2.38,2.74,60.47,4.183892839424508,-1.7554056501619488,-0.44052188760026995,3.0426604856144333,1.0844978457689254,1.2686569507627707,0.1,0.0696745059271264,0.09125210318140894
NOW,0.21,18.3,-1.5,16.81,8.95,2.19,125.4,3.7240829346092506,-2.470085169110229,-0.23180832639597404,1.9256876641029186,0.6892607923344826,1.2618741770143065,0.1,0.07827716824720267,0.09076423105050795
NFLX,0.66,25.39,-0.84,42.86,45.43,2.28,87.26,2.5785010314004126,-1.950917362825054,-0.002223409071248521,2.1084650348957115,-0.29544269306346443,1.1348365464491945,0.1,0.11305431445983247,0.08162665373673574
ADBE,0.57,20.5,-1.94,55.43,4.05,1.71,290.37,3.092605985466818,-2.308989375904674,-0.38486493794579096,0.9508750198746878,0.14646454963261193,1.118377558859339,0.1,0.0942605258506418,0.08044278978288438
CRM,0.19,24.72,-3.1,12.18,7.85,1.65,220.07,3.2398782205661836,-1.9999783543922003,-0.7883778229407632,0.8290234393461589,0.27305478538833,1.114423871396936,0.1,0.08997580976608491,0.08015840849600513
