Ticker,ROE %,ATR/Price %,Debt/Eq,RSI,Rel Volume,"Avg Volume, M",Price,Change %,z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
NFLX,42.76,2.893626991565136,0.54,21.85,2.72,46.82,85.36,-2.18,-2.3384860306615183,-1.5214128179437958,3.3445392435926853,-0.05415622704488633,2.0252880684348855,0.1,0.09462293346206486,0.12995095646821175
SRE,7.1,2.407536636427076,1.08,39.23,3.3,3.38,85.98,-2.77,-1.1018581181784681,-1.7705748200356102,4.648427925188356,-0.46464940270145466,1.9815020536827443,0.1,0.11372764598641501,0.12714146255687442
SHOP,15.74,5.0093835715316875,0.09,28.81,2.06,7.71,138.54,-4.12,-1.8432656468363153,-2.3406912654999315,1.8608038472941621,1.732556116136817,1.6632900771628372,0.1,0.05465811718689844,0.10672365071425674
CRDO,22.87,8.572865766024721,0.01,42.54,1.57,6.0,139.16,-9.18,-0.8663438264455049,-4.4775721647958315,0.7592427197391982,4.741842572761985,1.5480348836061089,0.1,0.03193838347172288,0.09932839525699226
IBN,16.66,1.7747440273037545,0.62,35.2,2.65,5.44,29.3,-0.68,-1.3886021047899,-0.8879501007612166,3.18717336822769,-0.9990295748348045,1.5341309030719092,0.1,0.15427772685781252,0.0984362576903443
MSFT,32.24,2.015266488032244,0.33,26.0,1.56,24.19,444.11,-2.29,-2.043203761570341,-1.567866750537185,0.7367618804013418,-0.7959133688094295,1.4908183921988454,0.1,0.13586464912352675,0.09565714576907372
SFM,36.96,4.024116657319126,1.3,31.52,2.19,2.67,71.32,-1.7,-1.6504427675020765,-1.3187047484453704,2.153054758686295,0.9005187382925458,1.3797607084896106,0.1,0.06804064036983243,0.08853122010640387
MKC,13.92,2.1634615384615383,0.76,46.56,2.52,2.68,66.56,-1.87,-0.5803113633740512,-1.390497189726063,2.8949224568355567,-0.6707657368428821,1.3358440586364395,0.1,0.12655805033705733,0.08571334410039479
SPOT,22.1,3.598239710069894,0.29,27.98,1.74,2.02,502.19,-1.79,-1.9023221006545505,-1.3567125114763252,1.141416988482757,0.540874530857882,1.3148580588565697,0.1,0.0760937281417486,0.08436679454710419
HDB,14.06,1.8985371926548393,1.09,26.21,1.69,4.12,32.13,-0.65,-2.0282617672307874,-0.8752808464175651,1.0290127917934748,-0.8944888263249671,1.311491355768115,0.1,0.14421812506292114,0.0841507727903438
