Ticker,"Avg Volume, M",ATR/Price %,Debt/Eq,Price,Rel Volume,ROE %,RSI,Change %,z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
ABT,6.36,2.8450418930116927,0.25,108.61,5.82,30.62,17.32,-10.04,-2.8863669358094577,-4.395312002542689,7.844782189382101,-0.097626375283215,4.127306703827993,0.1,0.10164824417956503,0.20751745489173032
MKC,2.75,2.8758169934640523,0.7,61.2,6.08,14.32,30.7,-8.05,-1.8642388696274177,-3.5565039579433178,8.278692722302544,-0.07161362846199629,3.560159896956466,0.1,0.10056047158049432,0.1790017979857889
GE,4.48,3.223728813559322,1.1,295.0,3.08,45.24,39.54,-7.38,-1.188931537411481,-3.274091199208856,3.2720327270666596,0.22245989068889774,2.19421851416156,0.1,0.08970776692678613,0.11032343225493849
SONY,4.13,2.047038327526132,0.21,22.96,2.29,14.45,18.34,-3.04,-2.8084468590153113,-1.4447309411378635,1.9536122616545433,-0.7721413047645957,1.9565488128609794,0.1,0.14127410764772436,0.09837360272736051
HBAN,27.45,2.664399092970521,0.76,17.64,3.15,10.03,48.98,-6.02,-0.4677888659048699,-2.700835450135918,3.3888547936221634,-0.2503152488685735,1.8118209942255659,0.1,0.10853986319276385,0.09109681165501364
NFLX,47.83,2.9446971510653577,0.54,83.54,1.44,42.76,19.1,-2.13,-2.750388762580457,-1.061155403155236,0.5350585963377091,-0.013392466732172446,1.4423914239482514,0.1,0.09820823609562618,0.0725222084847209
CADE,3.42,2.700228832951945,0.35,43.7,1.79,9.22,50.03,-5.94,-0.3875770221461893,-2.6671145237198632,1.1191689291152291,-0.22003005268376571,1.3149788321445408,0.1,0.10709963152485572,0.06611601222415657
CLS,2.82,7.1872959131062455,0.45,290.93,2.05,37.3,43.45,-6.08,-0.8902379097005856,-2.7261261449479597,1.553079462035672,3.5726769802815745,1.2190756135059677,0.1,0.04023676171654371,0.06129408032620881
PLD,3.4,2.0841556801136814,0.67,126.67,1.76,6.07,42.29,-3.41,-0.9788528989958898,-1.6006902258121187,1.0691023291628703,-0.7407677501265377,1.190737334528031,0.1,0.13875811476145114,0.05986925587009096
CPNG,14.43,3.909774436090226,1.04,19.95,1.44,8.73,26.05,-1.43,-2.2194627491301446,-0.7660972970147532,0.5350585963377091,0.802342029963394,1.0717235324219165,0.1,0.07396680237418964,0.05388534357999085
