Ticker,"Avg Volume, M",Rel Volume,ROE %,RSI,Change %,Price,ATR/Price %,Debt/Eq,z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
TTD,12.68,1.94,16.78,34.28,-7.5,33.81,4.140786749482401,0.14,-1.6514686709864919,-4.2997488509869894,1.8345359226377511,0.9896265454660249,2.350870662671666,0.1,0.07026687880500512,0.163069269518156
CPNG,14.94,2.61,8.73,24.7,-2.1,19.57,3.9345937659683186,1.04,-2.413560114887526,-1.2866144300438596,3.1543689204521557,0.8182284634438575,1.8441120284720303,0.1,0.07394922525417172,0.12791771413354808
APO,3.09,1.8,20.3,30.42,-3.48,131.56,3.0328367284889026,0.55,-1.9585326556898313,-2.056637670951548,1.5587499230944428,0.0686422067252445,1.7101953782708468,0.1,0.09593663844483331,0.11862852154997659
ABT,7.11,2.68,30.62,21.24,1.26,108.77,2.88682541141859,0.25,-2.688803997549069,0.5882247652096435,3.2922619202238104,-0.05272981705980813,1.3989280970695421,0.1,0.10078897031056436,0.0970373175010415
SONY,4.27,1.3,14.45,20.43,-0.56,22.96,1.95993031358885,0.21,-2.7532397041837076,-0.4273131322193372,0.573799924725484,-0.823212106496764,1.310274688335839,0.1,0.14845433976194317,0.09088783134170081
AA,6.89,1.47,20.73,51.64,-5.88,58.55,4.918872758326217,0.4,-0.27047624237250933,-3.39580852470405,0.9086829241709299,1.6364111609813492,1.301295137212847,0.1,0.05915179655557063,0.09026496047709819
TJX,5.22,1.54,58.4,36.5,-2.06,150.08,1.665778251599147,1.41,-1.4748671046545196,-1.264294915814651,1.0465759239425843,-1.0677262426650176,1.2747945162192282,0.1,0.17466920366136923,0.08842673220881235
FND,2.62,1.08,9.69,53.21,-5.65,70.99,4.394985209184393,0.84,-0.14558234185845675,-3.2674713178861023,0.14042192544314225,1.200929217862416,1.1025602442129825,0.1,0.06620276220161533,0.07647961943565315
ARCC,4.59,1.71,10.06,45.6,-2.07,20.35,1.6216216216216217,1.09,-0.7509597832036414,-1.269874794371953,1.3814589233880301,-1.1044314765567105,1.0940270344847352,0.1,0.17942543242133807,0.07588770925568215
IREN,38.09,1.1,30.19,55.18,-7.62,52.36,9.339190221543161,0.34,0.011131660697392564,-4.366707393674615,0.17981992537790062,5.310803578280713,1.0293351337895364,0.1,0.031154752583589004,0.07140032457833102
