Ticker,Rel Volume,"Avg Volume, M",RSI,ROE %,Price,ATR/Price %,Debt/Eq,Change %,z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
UNH,8.68,7.54,28.39,18.48,282.7,4.640962150689777,0.84,-19.61,-1.920944057729114,-6.976098359366638,11.673192977104598,1.4431787196844548,5.304285569435988,0.1,0.07492918353844291,0.27923028241266756
PINS,2.52,15.47,30.92,51.49,23.41,3.7590773173857324,0.04,-9.61,-1.7389240906075507,-3.4688779546331205,2.254010192415796,0.6913774960174487,2.204395004715649,0.1,0.09250767553401665,0.11604462686975484
BRO,2.33,2.77,31.56,10.99,74.12,2.7792768483540202,0.62,-6.91,-1.6928795139443888,-2.5219284453550705,1.9634834506802648,-0.143896185703288,1.8822690944611924,0.1,0.1251201387116027,0.09908714829599966
SYF,2.78,3.62,33.38,21.64,73.0,3.602739726027397,0.85,-5.82,-1.561940249058521,-2.1396414212391175,2.651573102159154,0.5581006915530876,1.7700581358806957,0.1,0.09652196140392426,0.093180094981455
SONY,1.55,4.31,18.43,14.45,22.6,1.991150442477876,0.21,-1.57,-2.637512782049576,-0.649072749227372,0.770794721450189,-0.815768945009134,1.386040774737883,0.1,0.17464451573596498,0.07296450236307402
RDDT,1.47,4.7,33.79,15.22,196.3,6.887417218543046,0.01,-8.11,-1.532442942133683,-2.9427948939230926,0.6484676722983862,3.358267408303235,1.360200036249225,0.1,0.05048968194460016,0.07160418406733281
ABT,2.26,7.33,20.76,30.62,108.27,2.8539761706844002,0.25,-0.46,-2.469881745135251,-0.2597712843019515,1.856447282672437,-0.08021548748255555,1.3346895655857638,0.1,0.1218452726956757,0.07026125186004674
CART,1.4,5.47,34.09,15.33,37.96,4.1622760800842995,0.01,-5.92,-1.5108595468228252,-2.1747136252864525,0.5414315042905589,1.0351018823889944,1.2947267228574597,0.1,0.08354647747848531,0.06815751221123595
TTD,1.46,12.88,29.87,16.78,32.19,4.473438956197577,0.14,-4.79,-1.8144659741955513,-1.7783977195515648,0.633176791154411,1.3003662595359078,1.254101025088782,0.1,0.07773516263192357,0.06601887828727741
IVZ,2.21,5.25,46.25,7.29,27.16,3.387334315169367,0.6,-5.13,-0.6360125902227435,-1.8976432133125045,1.7799928769525606,0.3744689458286107,1.205331212044988,0.1,0.10265993032536376,0.06345151865115593
