Ticker,Debt/Eq,Price,"Avg Volume, M",RSI,ROE %,Change %,Rel Volume,ATR/Price %,z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
NOW,0.19,116.73,10.29,24.89,15.49,-9.94,5.34,4.686027585025272,-1.9579133462992044,-3.698781966270132,4.736132485827216,1.2609046361224854,2.800979392952462,0.1,0.0832603011758959,0.14459552240174833
MSFT,0.32,433.5,25.54,33.57,34.39,-9.99,5.02,3.1026528258362167,-1.3681909389299272,-3.7180278928627883,4.352413094963214,0.028344995659910516,2.6478247105541017,0.1,0.1257504754637205,0.13668918743713382
WDAY,0.43,174.66,2.94,23.54,7.34,-7.65,3.44,3.6986144509332415,-2.0496328451412005,-2.8173185283264734,2.457798602572199,0.4922643818292933,2.145766263045196,0.1,0.10548816948176751,0.11077132325133578
CLS,0.35,300.0,2.81,46.92,40.49,-13.1,3.14,8.08,-0.4611870059368563,-4.91512452692601,2.0980616736371966,3.9029029345440565,1.9110310777750368,0.1,0.04828713713462379,0.09865354158339121
INTU,0.36,502.98,2.04,24.74,21.99,-6.63,2.89,4.121436240009543,-1.968104401726093,-2.4247016258362843,1.7982808995246942,0.8214050791273504,1.8149977816390357,0.1,0.09466604487537987,0.09369599542732687
FSLR,0.1,224.01,2.17,37.34,16.86,-10.18,2.42,5.923842685594393,-1.1120557458674643,-3.791162413914882,1.2346930441931896,2.2244673849047247,1.7406182262719865,0.1,0.06586266529267429,0.08985628468494557
SARO,0.99,31.18,2.45,52.44,9.86,-1.3,7.72,3.0147530468248878,-0.0861561662273622,-0.37308585105912256,7.590045455378238,-0.04007956358368381,1.6827517534842857,0.1,0.12941692469924643,0.08686903212488142
CRM,0.19,214.08,8.04,26.7,12.18,-6.09,2.29,3.489349775784753,-1.8349412774814173,-2.2168456186355963,1.0788070416546887,0.3293647326681301,1.6009503487050796,0.1,0.11181454801561515,0.08264618175796802
BSY,1.07,35.07,2.08,24.24,24.16,-6.1,1.66,3.136583974907328,-2.002074586482388,-2.2206948039541277,0.32335949089118265,0.05475830347403206,1.537165354483614,0.1,0.12439012351304503,0.07935339617587793
DT,0.03,37.86,3.85,30.85,20.57,-6.86,1.81,3.5129424194400425,-1.5529887440041705,-2.5132328881625035,0.5032279553586843,0.34773015134906093,1.4890501471951665,0.1,0.11106361034803161,0.0768695351553911
