Ticker,ATR/Price %,Price,Rel Volume,"Avg Volume, M",RSI,Change %,ROE %,Debt/Eq,z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
FITB,2.469135802469136,50.22,13.58,7.67,56.48,0.86,12.2,0.67,0.37482269190812817,0.5866064630898931,12.829255382710953,-0.48409837144519435,2.277760709437403,0.1,0.19068704863698246,0.15361983674140842
AGI,6.178861788617886,36.9,3.53,2.94,39.41,-12.39,14.27,0.07,-0.8940387917852707,-3.0057978442826183,2.280370112900896,1.9816786057718774,1.6228489846267526,0.1,0.07620047752549981,0.10945038916572525
KGC,5.798479087452471,31.56,2.72,9.2,44.24,-13.77,24.09,0.16,-0.5350112014959254,-3.379950141956132,1.4301614493639667,1.7288462104501299,1.4833841390360005,0.1,0.08119926135037667,0.10004441130244529
WPM,5.368923940244179,131.87,3.17,2.01,48.53,-13.64,13.05,0.0,-0.216123341797936,-3.344703911015874,1.902499595773372,1.443329922620232,1.4824564653774845,0.1,0.08769582584836047,0.09998184587343421
CDE,8.95303326810176,20.44,2.19,21.47,44.86,-16.81,19.57,0.12,-0.48892484415029547,-4.20416969625141,0.8738520769262221,3.8256121443955773,1.4347922900862835,0.1,0.05258912870727817,0.09676721371461683
PAAS,6.73992673992674,54.6,2.97,6.94,45.99,-13.73,11.27,0.13,-0.40492874124616285,-3.3691051478206684,1.6925715307025253,2.3546066993362835,1.4239654973802676,0.1,0.06985717160211516,0.09603701843069605
AEM,4.876640419947506,190.5,2.88,2.48,45.98,-11.61,15.67,0.01,-0.40567206959044755,-2.7943204586410664,1.5981039014206437,1.1161194021820156,1.328006224946957,0.1,0.09654847975480117,0.08956520262320039
B,4.848220135400743,45.79,2.05,15.23,43.06,-12.03,14.63,0.19,-0.6227239461214796,-2.90819289706344,0.7269024313766292,1.0972290357282604,1.2714784778172217,0.1,0.0971144473038308,0.08575278139323966
AU,6.4498761709917085,92.87,2.23,2.8,45.24,-13.22,19.42,0.3,-0.46067836706748966,-3.2308314725935,0.9158376899403916,2.1618161757830334,1.2590143642911213,0.1,0.07299864468318211,0.08491215969093677
HBAN,2.6887871853546907,17.48,7.85,27.01,48.56,1.1,10.03,0.76,-0.21389335676508284,0.6516764279026782,6.8148163184311885,-0.33810070882662285,1.2435492596707418,0.1,0.17510951458757312,0.08386914106429696
