Ticker,ATR/Price %,Change %,"Avg Volume, M",Price,RSI,Rel Volume,Debt/Eq,ROE %,z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
COIN,8.178209690665206,-13.34,9.34,146.12,14.38,3.11,0.48,26.0,-2.145636986389682,-3.8833572444996043,2.7224478932424483,2.4141905564439003,2.41321850381535,0.1,0.05886568944877079,0.1335919923512559
MSTR,11.131881484250865,-17.12,20.54,106.99,24.27,2.82,0.14,25.59,-1.5574110749004615,-5.125121570237876,2.26747032228012,3.990104715234847,2.3933700187309572,0.1,0.043246593361483614,0.13249321134017633
CPNG,5.77724836212031,-13.68,17.75,16.79,19.81,2.82,1.04,8.73,-1.822677765015924,-3.995050331999872,2.26747032228012,1.1331718052812583,2.376381717883427,0.1,0.0833296271377437,0.1315527656435699
QCOM,3.8884812912692586,-8.46,9.14,136.3,20.99,3.3,0.64,21.48,-1.752495098124389,-2.2802329297898796,3.0205366466315597,0.12543127836277457,2.0030190112600286,0.1,0.12380564951631397,0.11088399165206494
SPOT,5.00060569351908,-6.31,2.16,412.75,17.6,3.12,0.29,22.1,-1.95412157334668,-1.5739384058911277,2.73813677499977,0.718798691644261,1.7105684785687607,0.1,0.09627152817138811,0.09469438873602416
NOW,5.826756309071422,-7.6,12.14,102.63,20.63,2.97,0.19,15.49,-1.773906759209942,-1.9977151202303784,2.502803548639945,1.1595864782799177,1.7046697197041092,0.1,0.08262160391848383,0.09436784269475912
NVO,6.275957544993078,-8.16,21.77,43.34,26.66,2.46,0.67,61.25,-1.4152614360269287,-2.181680205524937,1.7026705790165395,1.399255147416633,1.4595381756047974,0.1,0.07670796821780552,0.08079774478916453
PANW,4.180396717710151,-7.17,6.21,154.77,20.54,2.05,0.04,15.33,-1.7792596744813303,-1.8564562154506283,1.0594264269663507,0.281181031838002,1.4562677436856555,0.1,0.11516035065718014,0.08061669880628458
CRM,4.5007106385218725,-4.75,8.75,189.97,20.19,2.5,0.19,12.18,-1.8000765672033956,-1.0614642397134286,1.7654261060458263,0.4520826344335427,1.3094162401866996,0.1,0.10696443085613096,0.07248722984142036
SONY,2.2598870056497176,-3.06,4.94,21.24,12.51,2.0,0.21,14.45,-2.2568586703618605,-0.5062838930209215,0.9809820181797425,-0.7434955940160235,1.2376458602215246,0.1,0.21302655871469944,0.06851413414528028
