Ticker,ATR/Price %,RSI,Change %,Rel Volume,Debt/Eq,"Avg Volume, M",ROE %,Price,z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
WDAY,5.273033126293996,26.61,-5.13,2.71,0.43,3.38,7.34,154.56,-1.8872176546454196,-2.2978283076751476,3.6765073910463397,1.1733075176464969,2.0827368132568167,0.1,0.06894484862499015,0.13349045065891135
BRO,3.494975972040192,29.79,-6.93,1.88,0.62,2.68,10.99,68.67,-1.674755592111657,-2.9938313625187236,1.8067532186018664,0.012223976055670986,1.9941336802354395,0.1,0.10402030617528872,0.12781154198378214
EXE,3.9228981015110422,41.0,-6.46,2.08,0.28,3.23,6.12,103.24,-0.9257934156954682,-2.81209723153179,2.2572963926848724,0.2916600675347533,1.7305549983130393,0.1,0.09267344225608731,0.11091779102593395
FOXA,3.0230708035003975,21.56,-2.98,1.57,0.69,3.44,16.87,62.85,-2.224618099864131,-1.4664913255008756,1.108411298773208,-0.29593334221295703,1.5431638928536895,0.1,0.12025800727721868,0.09890718893832602
SPOT,4.960948799537171,21.39,-1.84,2.05,0.29,2.29,22.1,414.84,-2.2359761346536717,-1.0256893907666105,2.189714916572421,0.9695143074457414,1.4825744864670087,0.1,0.07328204449939398,0.09502378556626655
BSX,4.411764705882352,22.36,-2.82,1.69,0.51,12.52,12.66,74.12,-2.171168524383939,-1.4046243872925577,1.3787372032230112,0.6108933199704056,1.4661856277343357,0.1,0.08240432002236357,0.09397336185258151
EW,2.5260416666666665,29.48,-2.43,1.73,0.07,3.53,13.59,76.8,-1.6954673026102312,-1.2538237254097828,1.4688458380396123,-0.6204967844443333,1.3880707058593604,0.1,0.14392021932347307,0.08896668215214915
ADP,2.475509663754303,20.66,-2.05,1.36,0.7,2.4,73.84,226.62,-2.2847488722793465,-1.1068897471650276,0.6353409659860523,-0.6534945296319946,1.3794911629659408,0.1,0.14685802928175548,0.08841678691814733
AMZN,3.7562284400153314,27.84,-0.76,2.07,0.41,43.93,22.29,208.72,-1.8050389323446245,-0.6080875578604645,2.2347692339807215,0.18282363312531086,1.2732657550553943,0.1,0.09678550612470584,0.08160840024002843
TPG,5.131004366812227,34.98,-0.11,2.81,1.45,2.17,14.28,54.96,-1.3280014711839123,-0.35675312138917314,3.901778978087843,1.0805617615990484,1.2619637268582438,0.1,0.07085327641472312,0.0808840106638735
