Ticker,Price,ATR/Price %,RSI,Change %,ROE %,"Avg Volume, M",Debt/Eq,Rel Volume,z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
BDX,171.68,4.595759552656104,25.06,-17.22,6.96,2.08,0.77,2.21,-2.089185929220703,-7.186814389331434,2.0152143132572995,0.7650001445234366,3.5731429596923636,0.1,0.0806040495897475,0.197508953039632
SCHW,99.25,2.921914357682619,42.98,-7.42,18.11,9.05,0.63,4.46,-0.8526672422152757,-3.1501361927554554,6.054649284262438,-0.3440430881351742,2.6463153679057605,0.1,0.12677881194938348,0.14627765628855657
INCY,100.05,3.9880059970014994,44.82,-8.24,29.87,2.05,0.01,2.32,-0.7257032698888253,-3.487899062264874,2.2126978007286615,0.36231955611118205,1.8810684207884085,0.1,0.09288773165420822,0.1039778868567352
NDAQ,82.51,3.5995636892497878,24.16,-4.39,15.28,3.89,0.77,2.15,-2.151287872206467,-1.9020611993243104,1.907496047363829,0.104948495762227,1.7896765349323152,0.1,0.10291159231080418,0.0989261114602902
PANW,165.51,4.0118421847622505,37.14,-0.3,15.33,6.67,0.04,4.48,-1.2556398500340087,-0.21736591116147824,6.090555372893596,0.37811275061197924,1.695851815935942,0.1,0.09233584319239646,0.09373985884536352
INTU,421.39,5.496096252877383,21.25,-3.68,21.99,2.47,0.36,2.09,-2.3520841545271027,-1.6096079830417651,1.7997777814703586,1.3615381801154378,1.6103939864316317,0.1,0.06739998970922549,0.08901609418639536
TPG,53.08,5.3880934438583274,31.55,-3.42,14.28,2.24,1.45,2.16,-1.641361918134474,-1.5025124390509739,1.9254490916794078,1.289978525249863,1.356447990825802,0.1,0.06875100343834878,0.07497898224138863
ADP,225.53,2.4253979514920405,20.08,-0.48,73.84,2.41,0.7,1.85,-2.4328166804085956,-0.29150898007817994,1.3689047178964775,-0.6730210377348432,1.294597028523151,0.1,0.15273239208310763,0.07156011013168101
BRO,67.61,3.5793521668392247,28.1,-1.54,10.99,2.72,0.62,1.94,-1.8794193662465681,-0.7281292748098676,1.5304821167366827,0.09155690362546562,1.2095827573545423,0.1,0.10349270304183718,0.06686086359121096
TCOM,57.5,3.304347826086956,31.97,-1.84,19.95,3.18,0.19,1.54,-1.6123810114077843,-0.8517010563377035,0.8123603441135471,-0.09065331747438793,1.033966124281069,0.1,0.11210588303094098,0.057153483358746565
