Ticker,Price,Debt/Eq,ATR/Price %,ROE %,RSI,Change %,Rel Volume,"Avg Volume, M",z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
ROL,58.69,0.76,2.8624978701652752,38.94,33.44,-10.53,6.0,2.52,-1.1397299372748753,-2.631402975202843,6.69429191991392,-0.5094256232189819,2.709697465671883,0.1,0.14739384270525197,0.1570876602597519
CSCO,75.0,0.63,3.52,24.34,40.43,-12.32,3.01,22.6,-0.7020536867978735,-3.19459567028054,2.294583427044783,-0.12520262469405272,1.8352642228558065,0.1,0.11986209114183505,0.10639466817944776
CTSH,65.83,0.08,4.420476986176515,15.16,21.52,-7.16,3.6,4.99,-1.8860963043257852,-1.5710904710621512,3.162753330319964,0.4010070285254758,1.802465334597223,0.1,0.09544548295096852,0.10449323797148749
FOXA,56.43,0.69,3.7745879851143007,16.87,15.59,-7.66,2.83,3.5,-2.257401049007991,-1.728406866335251,2.0297180328252367,0.02357036719515248,1.798619340215667,0.1,0.11177764632408828,0.10427027645403963
TTEK,35.66,0.57,4.5429052159282115,19.9,41.03,-11.78,3.23,2.59,-0.6644849099328948,-3.024693963385592,2.6183077977575624,0.4725501299160674,1.7676191522213762,0.1,0.09287329159762213,0.1024731212138962
INFY,14.21,0.11,4.855735397607318,32.85,25.38,-9.84,2.3,14.1,-1.6444038398277556,-2.4143063497259654,1.2498365942899041,0.655357979472476,1.6049800872545354,0.1,0.08688994071364747,0.0930445445900701
ADP,209.96,0.7,2.8481615545818255,73.84,13.86,-3.5,3.11,2.51,-2.365724355635346,-0.41953445766306163,2.4417308682778645,-0.5178033027903884,1.5149670885890545,0.1,0.14813575449767838,0.08782627519562368
DASH,161.14,0.34,5.585205411443465,10.11,18.19,-8.17,1.95,5.1,-2.0946030159264164,-1.8888695895138126,0.734820549974119,1.0816366838784974,1.4330158535110542,0.1,0.07554145814490605,0.08307536556940535
XYZ,49.09,0.36,5.744550825015278,14.78,26.53,-8.77,2.34,7.31,-1.572397017503213,-2.077649263841532,1.308695570783137,1.1747529945726491,1.4217800131700231,0.1,0.07344604890289873,0.0824239969599628
SHOP,110.66,0.01,8.675221398879449,9.84,31.49,-6.78,3.83,9.6,-1.261828462086056,-1.4515300106545954,3.5011924451560517,2.887342177914025,1.3611797366990357,0.1,0.048634443021103375,0.07891085360631499
