Ticker,RSI,ROE %,"Avg Volume, M",Debt/Eq,Change %,ATR/Price %,Price,Rel Volume,z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
PINS,15.73,8.78,15.28,0.06,-16.83,7.911802853437094,15.42,4.51,-2.4423362313714554,-6.7407720260391,6.233483220377706,2.5985187178567553,4.2009326623835594,0.1,0.04597242551223031,0.2470113958615712
STZ,40.37,14.29,2.59,1.38,-8.04,3.4762223710649702,149.3,2.34,-0.8274200683099563,-3.436454188130426,2.239622350817116,-0.11942246015838039,1.952222705933395,0.1,0.10463219222527984,0.11478909432260571
AMKR,47.52,8.67,3.97,0.34,-7.97,8.003369839932603,47.48,3.21,-0.35880600313586014,-3.410139939136842,3.840847676401316,2.6546271988395653,1.8218378951917524,0.1,0.04544645250957827,0.1071225743641148
ROL,31.77,38.94,2.63,0.76,-1.07,2.9280055115397863,58.06,2.9,-1.3910677550927848,-0.8163068240549478,3.2702961236069457,-0.4553471903954432,1.47217504646264,0.1,0.12422270583630549,0.08656268557586992
SNY,40.94,6.76,3.26,0.28,-2.17,2.2169093675287983,46.01,2.8,-0.79006202395342,-1.229816451096989,3.0862472356087616,-0.891077643042227,1.413314677693618,0.1,0.16406839750626978,0.08310174415665812
BLDR,44.62,13.56,2.05,1.18,-4.84,5.107644033818531,114.73,2.49,-0.5488732463533259,-2.233517091280852,2.515695682814392,0.8802455953590087,1.38895119519894,0.1,0.07121184736814233,0.08166919136357316
FOXA,15.52,16.87,3.61,0.69,-0.14,3.6734693877551017,56.35,1.67,-2.456099721397548,-0.46670323028304045,1.006494801229284,0.0014423941787999929,1.2241357539161826,0.1,0.09901396444448508,0.07197817856174081
V,34.47,53.44,7.39,0.55,-3.12,2.4070300560366786,314.08,1.57,-1.2141085976144548,-1.5869384017242065,0.8224459132311004,-0.7745795093386968,1.2223135833486212,0.1,0.1511093583708643,0.07187103642651416
TMO,21.08,13.04,2.11,0.74,-0.98,3.316033437660948,504.82,1.51,-2.0916949378495797,-0.7824742182060536,0.71201658043219,-0.21757964614371403,1.1701204853202811,0.1,0.10968670074800298,0.06880212505981656
CTSH,23.9,15.16,5.21,0.08,1.09,4.297520661157025,66.55,2.51,-1.9068709289277685,-0.004324283681485332,2.5525054604140283,0.38383533235513195,1.1410358832605314,0.1,0.08463595547884163,0.06709197430753555
