Ticker,Rel Volume,ATR/Price %,ROE %,RSI,Change %,"Avg Volume, M",Debt/Eq,Price,z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
PINS,4.51,7.911802853437094,8.78,15.73,-16.83,15.28,0.06,15.42,-2.4266325939914712,-6.724566736832632,6.148766062134096,2.5576573879948192,4.1769072394157725,0.1,0.04881337606483601,0.2490218092636216
STZ,2.34,3.4762223710649702,14.29,40.37,-8.04,2.59,1.38,149.3,-0.8165798892692891,-3.4374619230079633,2.207391439210466,-0.1403702615006037,1.944429948289192,0.1,0.1110981309050581,0.11592439955096322
AMKR,3.21,8.003369839932603,8.67,47.52,-7.97,3.97,0.34,47.48,-0.3493770954882984,-3.411284751566812,3.7875738917190187,2.613354779199349,1.812410946893157,0.1,0.0482548995935092,0.10805359737595117
ROL,2.9,2.9280055115397863,38.94,31.77,-1.07,2.63,0.76,58.06,-1.3785301027681025,-0.8309635666532497,3.2245203741585,-0.4738337733896897,1.4656102364681423,0.1,0.13189927632088738,0.08737778740129014
SNY,2.8,2.2169093675287983,6.76,40.94,-2.17,3.26,0.28,46.01,-0.7793343518629724,-1.2423191178713537,3.042890207203494,-0.906371761510061,1.4067939319987188,0.1,0.1742073057619712,0.08387123537280304
BLDR,2.49,5.107644033818531,13.56,44.62,-4.84,2.05,1.18,114.73,-0.5388719349239451,-2.2407912285552976,2.4798366896429758,0.8519735301604465,1.3836520921302855,0.1,0.07561251439578862,0.08249154880008126
FOXA,1.67,3.6734693877551017,16.87,15.52,-0.14,3.61,0.69,56.35,-2.440354634088535,-0.4831811460779433,0.990469320611926,-0.02039094719767529,1.2233704819004203,0.1,0.1051327144097095,0.07293576642730576
TMO,1.51,3.316033437660948,13.04,21.08,-0.98,2.11,0.74,504.82,-2.077047286756744,-0.7973072033717683,0.6998610534839166,-0.23780827963258405,1.169777110205021,0.1,0.116464992074412,0.06974059889804246
CTSH,2.51,4.297520661157025,15.16,23.9,1.09,5.21,0.08,66.55,-1.8927798911675984,-0.023210847897699494,2.5161627230339763,0.35920031420150433,1.137909271859499,0.1,0.0898661899467611,0.06784067957801646
UBER,1.27,3.9148449778539796,41.37,25.1,-1.73,20.89,0.45,69.99,-1.8143682334700892,-1.077776897384112,0.2639486527919022,0.12643042569549962,1.0523974837878007,0.1,0.09865060052706703,0.06274257733192488
