Ticker,RSI,ATR/Price %,"Avg Volume, M",Rel Volume,ROE %,Price,Debt/Eq,Change %,z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
GIS,41.67,3.2250889679715304,7.44,2.97,27.29,44.96,1.47,-6.99,-0.7394782210410699,-3.4118854377342953,4.9074289183242845,-0.2822301569142618,2.462686079927661,0.1,0.11429471362658856,0.15348787079302123
INTU,17.36,6.047419363346256,2.71,2.01,21.99,379.17,0.36,-5.07,-2.4362108213092877,-2.426702888769999,2.4567594426813737,1.4429556203876035,2.0490761250252643,0.1,0.06095337496333487,0.1277094689763223
TPG,24.74,6.396588486140725,2.38,1.99,14.28,46.9,1.45,-5.31,-1.92111881843066,-2.549850707390536,2.40570382860548,1.6563897404697805,1.8803411257115363,0.1,0.0576261269289454,0.11719299430908141
DHR,30.16,3.154681139755766,3.75,2.32,7.05,206.36,0.35,-2.93,-1.5428263176715589,-1.3286348394035443,3.24812146085773,-0.32526784805333275,1.6871624819531654,0.1,0.11684560298956673,0.10515305996469804
MDT,34.14,2.396017010683539,7.77,2.2,9.81,96.41,0.6,-3.1,-1.2650395735717026,-1.415864544259758,2.941787776402367,-0.7890110608853429,1.605575102610019,0.1,0.15384307305456835,0.10006809471434427
CTSH,22.5,4.372506903958269,5.35,2.17,15.16,65.18,0.08,-2.06,-2.0774611065672626,-0.8822239969040976,2.8652043552885256,0.41914382361949504,1.5670162749107317,0.1,0.08430189548263185,0.09766490073356195
TMO,20.5,3.2257421399948165,2.11,1.79,13.04,501.59,0.74,-0.64,-2.2170524352606575,-0.15359940339925365,1.895147687846541,-0.2818308971087651,1.2369407708111535,0.1,0.11427157039129249,0.07709281615562599
CRM,25.34,4.791361441206794,9.8,1.4,12.18,184.29,0.19,-2.86,-1.8792414198226413,-1.292716725639221,0.8995632133666086,0.6751740501315009,1.2225805885718233,0.1,0.07693233427235134,0.07619781219467482
SPGI,26.1,4.346449019368985,2.13,2.41,13.91,410.45,0.44,0.22,-1.826196714919151,0.28768027999100393,3.4778717241992534,0.4032156063017503,1.1937335364345272,0.1,0.08480730324270334,0.07439990841501855
ADP,19.57,2.70790313497278,2.63,1.88,73.84,213.08,0.7,0.46,-2.281962403103086,0.4108280986115409,2.1248979511880632,-0.5983666534682017,1.1397132621564734,0.1,0.13612400504801714,0.07103307374365148
