Ticker,"Avg Volume, M",Debt/Eq,ATR/Price %,Rel Volume,RSI,ROE %,Price,Change %,z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
PANW,8.32,0.04,4.929438792254677,3.21,29.83,16.26,152.35,-6.82,-1.845986491798002,-3.7650953786438124,6.011299104054984,0.8643526580193801,3.0797032096636934,0.1,0.07183482427150303,0.23575984637682526
EXE,3.36,0.27,3.9690514469453384,2.45,36.11,10.07,99.52,-3.14,-1.3584258216324752,-1.9891283477741135,3.978873903054957,0.24483700281614337,1.9429350396216833,0.1,0.08921662370269134,0.14873708123042811
MFC,2.16,0.29,2.163331530557058,2.54,48.1,11.14,36.98,-0.51,-0.427557599453388,-0.7198910403862577,4.219555834752328,-0.9199760932523989,1.3375158002195817,0.1,0.1636852070045698,0.10239055458229682
WDAY,3.76,0.43,5.314449975460983,1.39,22.43,7.34,142.63,-0.34,-2.4205006572796735,-0.6378490851558641,1.1441755963970235,1.1127112568593105,1.1879864034459116,0.1,0.06663067128937068,0.09094366336837706
FOXA,3.71,0.69,3.5508133636522645,1.33,19.88,16.87,57.17,1.31,-2.6184751332226823,0.15844048031560418,0.9837209752654429,-0.02495522369304427,1.0602518459398702,0.1,0.09972514270209974,0.08116522771907804
DOCU,3.71,0.08,5.35475234270415,1.19,27.87,15.22,44.82,-0.86,-1.9981551086012552,-0.8888009482135389,0.6093268592917533,1.1387090457419307,1.0184290871693356,0.1,0.06612917773521561,0.07796357921221655
PGR,3.47,0.19,2.8778040141676504,1.05,43.97,34.23,203.28,-2.22,-0.7481986134316725,-1.5451365900566887,0.23493274331806427,-0.4590923769367382,0.895563107578213,0.1,0.12304707605363566,0.0685578467434361
ROL,2.74,0.76,2.854771784232365,1.75,42.54,38.94,60.25,0.28,-0.8592195940585361,-0.33863724843325177,2.1069033231865104,-0.47394974369489123,0.888025533878917,0.1,0.12403981689694407,0.0679808245122601
TTD,13.34,0.14,5.372549019607844,1.29,25.54,16.78,25.5,0.95,-2.1790494336785926,-0.015295424878170772,0.8767512278443887,1.1501891219906246,0.8283520338646825,0.1,0.06591012350122623,0.06341265211435565
CPRT,8.7,0.01,2.728476821192053,1.53,38.81,18.22,37.75,0.61,-1.148805788281054,-0.17937933533895817,1.5185697123707131,-0.5554186501303316,0.82412060075418,0.1,0.12978133684274387,0.0630887241407264
