Ticker,"Avg Volume, M",Rel Volume,Debt/Eq,Change %,ATR/Price %,ROE %,RSI,Price,z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
AKAM,3.5,4.51,1.14,-14.07,5.479452054794521,9.17,45.75,94.17,-0.6127201080910545,-6.844745552186491,6.903232469695196,1.304022014118699,3.86035727362431,0.1,0.06875184193176698,0.20975421488255427
EGO,2.17,4.51,0.3,-9.72,6.627906976744185,12.72,50.14,43.0,-0.2776112965603771,-4.811345062345896,6.903232469695196,2.0836837918088267,2.953412840375352,0.1,0.05683882149610154,0.16047498913886163
CPRT,8.86,2.88,0.01,-3.11,3.316885964912281,17.22,32.78,36.48,-1.602779626440231,-1.7215112145651283,3.6262333830662365,-0.16409840557320712,1.9051583115224437,0.1,0.11357713998283074,0.10351761703268025
AMH,3.64,2.0,0.73,-4.37,2.8116531165311653,6.36,32.96,29.52,-1.589039401821661,-2.3104961840361975,1.8570559620640992,-0.5070903099028505,1.7869576784533554,0.1,0.133986094987672,0.09709513350831193
PANW,8.77,2.93,0.04,-1.52,5.030262273032953,16.26,27.68,148.7,-1.9920859906330453,-0.9782682768992557,3.7267548274413587,0.9990765634309842,1.6850673027814784,0.1,0.07489120866789063,0.09155887501245569
A,2.07,2.04,0.53,-2.72,3.0187144019528067,20.62,32.03,122.9,-1.6600305623509388,-1.5392063430621787,1.9374731175641964,-0.3665207787900608,1.5438796182864365,0.1,0.12479564853840659,0.0838873799115529
INVH,6.27,2.06,0.88,-1.48,2.6877470355731226,6.09,35.16,25.3,-1.4211033231502512,-0.9595703413604916,1.9776816953142449,-0.5912075299173412,1.2878928746333431,0.1,0.14016290095678524,0.06997822730483441
PAYX,3.62,1.47,1.3,-1.19,2.9482683033757127,40.88,26.42,91.24,-2.0882675629630345,-0.8240103087044518,0.7915286516878116,-0.4143451464672088,1.2190375000679035,0.1,0.12777752320322697,0.06623694016255434
WDAY,3.8,1.06,0.43,-1.58,5.275379145199913,7.34,20.42,137.81,-2.546275050248698,-1.0063151802074017,-0.032747192188184136,1.165481228205377,1.1203090194014604,0.1,0.07141144004534913,0.06087248462621618
CTSH,5.6,1.73,0.08,0.06,4.290327541134861,15.16,25.89,65.03,-2.1287248910066014,-0.23969982311807378,1.3142401624384432,0.4967505100348547,1.0421216314278394,0.1,0.0878073801899702,0.05662413841997832
