Ticker,ROE %,Price,Debt/Eq,"Avg Volume, M",Change %,ATR/Price %,Rel Volume,RSI,z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
MFC,11.14,35.79,0.29,2.17,-0.36,2.207320480581168,5.8,41.05,-0.8597054192067936,-0.6341250948009949,9.004897179785218,-0.9283912873616872,2.4166592445959383,0.1,0.18363625377198792,0.14756833068784314
AS,6.38,38.24,0.33,3.8,-5.56,4.393305439330543,2.81,47.57,-0.38814302993654837,-3.631274850071922,3.38934698260578,0.5797551284535113,2.0266901416787695,0.1,0.0922640297893507,0.12375566878029147
ACN,25.35,196.73,0.27,4.81,-2.21,5.245768311899559,2.31,22.94,-2.169520583268777,-1.700418757733921,2.450291765686142,1.1678830662669608,1.7277488158614764,0.1,0.07727067606257462,0.10550143102496225
PANW,16.26,141.67,0.04,9.14,-1.71,5.202230535752101,2.58,23.91,-2.0993648290368543,-1.4122312812655626,2.9573815828227468,1.1378456495928229,1.7067503902111127,0.1,0.07791735893717136,0.10421920531307251
OKE,17.17,82.89,1.46,4.32,-5.08,2.907467728314634,1.99,54.14,0.08703563532503283,-3.354614872662298,1.8492964268575731,-0.445348365229136,1.558046854962471,0.1,0.13941481103319922,0.09513892950956679
NVO,61.25,38.59,0.67,22.63,-2.62,6.400621922777922,1.93,25.16,-2.0089579292534485,-1.936732488437975,1.7366098008272164,1.964635270378137,1.5318500793196277,0.1,0.06332885597969941,0.09353927723766997
ADP,73.84,205.68,0.7,2.79,-0.02,2.7907429015947103,2.05,20.53,-2.343825086051184,-0.4381576108025113,1.9619830528879294,-0.5258787130477305,1.4186784257811524,0.1,0.1452459356598146,0.08662868277500378
INTU,21.99,358.71,0.36,2.91,-0.23,6.077332664269187,2.25,18.33,-2.5029412296699785,-0.5591963509192218,2.337605139655785,1.741592776631774,1.3651099034741998,0.1,0.06669769228057441,0.08335763104028841
SE,15.66,107.11,0.42,5.0,-3.71,4.76146018112221,1.4,37.53,-1.1142912489968642,-2.5649811871389963,0.7412112708923997,0.8337510455233733,1.3526125022736937,0.1,0.08513020134772517,0.08259450291735634
WDAY,7.34,130.23,0.43,3.84,0.79,5.866543807110497,2.55,18.89,-2.4624389385670122,0.02870610107622932,2.9010382698075676,1.596166131244637,1.2723975339588238,0.1,0.06909418513790279,0.07769634071394535
