Ticker,Debt/Eq,ATR/Price %,"Avg Volume, M",RSI,ROE %,Price,Change %,Rel Volume,z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
FSLR,0.07,7.072149248048734,2.21,37.18,17.45,210.12,-13.61,4.42,-1.2976009680305731,-5.751733718663422,6.621442919030963,2.5609934514468544,3.5354563790044056,0.1,0.054038461701368154,0.19928027964289238
WDAY,0.49,6.196019526849417,3.94,23.39,8.23,133.15,2.24,5.66,-2.4141668733667907,0.7235477151050084,9.039110645356127,1.9316272608738174,2.2063761083754674,0.1,0.061679609728629736,0.12436506089725166
ACN,0.27,5.305483028720627,4.9,21.48,25.35,191.5,-2.66,2.89,-2.5688181336417855,-1.2782743054290806,3.6383529018716905,1.2919119883153798,1.944961735217603,0.1,0.07203266210036256,0.10963012322557243
HLN,0.53,2.2030651340996172,8.88,41.26,9.2,10.44,-5.78,2.01,-0.9672464434640927,-2.5529038368711947,1.9225887089957683,-0.9367042595507811,1.7102407658715821,0.1,0.17347107008855253,0.09639979158094956
BF-B,0.64,3.558718861209964,4.91,44.76,20.67,28.1,-7.63,1.55,-0.6838540817036314,-3.308693783399371,1.025711971810628,0.03712712788308676,1.5988214343598675,0.1,0.10738922662665856,0.09011950605030719
FOXA,0.69,3.584626755358463,3.71,21.24,16.87,54.12,-3.32,1.4,-2.5882507527339316,-1.5479074755418354,0.7332521662067774,0.055738016489502135,1.5887320114889236,0.1,0.10661307086316836,0.08955080351360009
NVO,0.67,6.184486373165619,22.14,24.7,61.25,38.16,-1.11,2.48,-2.308097160822161,-0.6450448907703382,2.8389627665544994,1.9233424409166433,1.4090580272766102,0.1,0.06179463309115884,0.07942326183863666
BLDR,1.17,5.45649420247491,2.0,33.7,10.06,102.63,-6.43,1.02,-1.5793739448666888,-2.818451655921635,-0.007646007989643117,1.4003905901251614,1.3976706996654682,0.1,0.0700391225768554,0.07878140132970496
MFC,0.29,2.203389830508475,2.34,38.69,11.14,35.4,-1.09,2.2,-1.1753374062424886,-0.6368741886457093,2.293037796093979,-0.9364710144764605,1.1865287188773113,0.1,0.17344550700719555,0.06688012792531721
BSX,0.49,3.1981491562329887,13.43,28.38,12.6,73.48,-2.22,1.16,-2.0101303347425903,-1.098518858687244,0.26531647724061697,-0.22188746341141044,1.1632792594897063,0.1,0.11949663621605011,0.06556964399576787
