Ticker,ATR/Price %,RSI,Change %,Price,Rel Volume,ROE %,"Avg Volume, M",Debt/Eq,z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
BDX,4.647870708977233,21.65,-18.13,169.54,5.95,6.92,2.21,0.74,-3.741104677976307,-6.910254221644586,9.374957437052313,0.5008989277178871,5.552877209505986,0.1,0.08701954653260807,0.27464725831222053
AGI,5.402254178002332,41.21,-9.78,25.73,3.5,8.74,3.61,0.08,-1.3118246932392796,-3.746099429203332,4.795238721580249,1.0870903795975038,2.6206121492112135,0.1,0.07486793255384211,0.12961639790060978
QCOM,4.888691664817691,40.59,-8.92,135.21,2.59,41.96,8.78,0.54,-1.3888264105468948,-3.4202104326165683,3.094200341547768,0.6880281418953768,2.233200149227228,0.1,0.08273289239084652,0.11045486422745267
FTV,3.758610362383947,43.82,-4.18,66.78,3.8,8.12,2.84,0.38,-0.9876723026378667,-1.6240315444523117,5.356020605107441,-0.19009820447291068,2.0043102879503416,0.1,0.10760774925892005,0.0991338912465367
UNH,4.999001697114905,25.79,-2.62,400.68,1.48,15.88,6.22,0.88,-3.226931920470617,-1.0328840622716704,1.01930737249716,0.7737442274728561,1.6174226457119467,0.1,0.08090727428054596,0.07999829249175933
AFL,2.9945904173106648,40.28,-4.75,103.52,1.6,22.64,2.11,0.29,-1.4273272692007029,-1.8400277398644693,1.2436201259080366,-0.7837776516727155,1.4706760435216892,0.1,0.13506207697031822,0.07274015397409274
PAA,3.8300418910831837,36.17,-4.3,16.71,1.38,7.56,3.86,0.82,-1.9377741371592498,-1.6695044276969766,0.8323800779880959,-0.1345925455640554,1.4424827678537042,0.1,0.10560082968779365,0.07134570465117289
TMO,3.891495391650194,35.46,-2.12,419.89,1.23,13.75,2.25,0.69,-2.0259535231082935,-0.8434137154189008,0.5519891362245003,-0.08684028401594077,1.123360389131012,0.1,0.10393320837671104,0.055561799645634506
IP,4.853041695146958,35.06,-3.92,43.89,0.67,6.74,9.27,0.99,-2.0756320504035286,-1.5255069640888717,-0.4948037130262571,0.6603264380023184,1.0954052686668567,0.1,0.08334064012716932,0.054179129562794484
PEG,2.911263666412408,39.94,-1.59,78.66,1.56,11.22,3.01,1.42,-1.4695540174016535,-0.6425751477549647,1.168849208104411,-0.848526457943065,1.057867695220005,0.1,0.13892784982124512,0.05232250798772663
