Ticker,Price,Rel Volume,Change %,ATR/Price %,Debt/Eq,RSI,"Avg Volume, M",ROE %,z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
GOOG,152.8,3.49,-7.51,3.8612565445026177,0.08,40.61,22.39,34.79,-1.3823437099111664,-3.4130166885948356,4.394641623204564,0.14900693509147903,2.542403770608866,0.1,0.10153814868154168,0.16177890270694129
GOOGL,151.31,3.58,-7.3,3.87284383054656,0.08,41.13,34.94,34.79,-1.3268270898204937,-3.3236645514928496,4.551074759341913,0.15903143816112617,2.52198388251194,0.1,0.10123435342807302,0.1604795390386251
SU,33.96,2.63,-3.3,3.445229681978798,0.34,41.4,5.06,13.82,-1.298001152465722,-1.62171908288358,2.8998361001143413,-0.21091017963323658,1.6229603203584475,0.1,0.11379933336929128,0.10327263623496608
ENTG,78.39,2.58,-5.59,6.710039545860441,1.1,47.86,3.54,8.25,-0.6083139105700615,-2.596082863662387,2.812928802260259,2.613573170323029,1.422767314401106,0.1,0.058429587252604984,0.09053390243989044
TSN,55.18,1.48,-1.02,2.8089887640449436,0.49,30.02,2.74,5.01,-2.512961030603898,-0.6516101657762964,0.9009682494704397,-0.761340971682023,1.363927665795358,0.1,0.13957508343632863,0.08678980250692808
UNH,391.06,1.27,-0.87,4.500588145041682,0.88,25.52,6.6,15.88,-2.993393319850101,-0.5877872107034487,0.5359575984832925,0.7021115678606669,1.290393548604334,0.1,0.08711413452600016,0.08211066029977249
OHI,35.66,1.93,-0.67,2.5799214806505892,0.94,35.37,2.49,10.53,-1.9417804200556343,-0.5026899372729854,1.683133930157184,-0.9595138377728619,1.2881427948737398,0.1,0.15196774167499627,0.08196743974880867
CTRA,22.6,1.58,-1.44,4.380530973451327,0.3,31.27,7.2,9.41,-2.379507616924397,-0.8303144399802697,1.0747828451786052,0.5982465661185334,1.2785696323405011,0.1,0.08950167079959787,0.08135827776283047
AVTR,11.94,2.1,-0.33,6.281407035175881,0.67,28.16,10.39,12.52,-2.7115397101589953,-0.3580245724411974,1.9786187428610653,2.242750537411999,1.2457961937410806,0.1,0.06241672270523459,0.07927282973296156
BDX,167.14,1.35,1.2,4.152207730046668,0.76,22.89,2.51,5.97,-3.274179302231771,0.2929695693018482,0.6750092750498249,0.40071739097761655,1.1383535224376764,0.1,0.09442322412633147,0.07243600952827604
