Ticker,"Avg Volume, M",ATR/Price %,Rel Volume,ROE %,Debt/Eq,Price,RSI,Change %,z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
FSLR,4.31,7.033713315546933,2.37,16.77,0.08,164.92,58.45,-7.59,-0.15334928942478881,-5.200789433451655,5.030465537233242,3.556393527237573,2.5244023077296465,0.1,0.051324101362445654,0.1780814606363462
CAVA,3.91,5.150642445724413,1.23,21.73,0.57,90.28,45.41,-6.75,-1.4843952628656145,-4.6170193171831295,1.8412557611024258,1.7833855605146758,2.3254076991860777,0.1,0.07008815287910007,0.16404358306045871
UNH,11.28,7.137421523241805,5.21,24.33,0.86,315.38,28.76,8.04,-3.183928656867894,5.661504515687705,12.975514453208259,3.654040132792515,1.3625473267754666,0.1,0.050578351577804714,0.09611955170352755
CELH,10.15,5.081572612998127,0.81,9.19,0.02,37.39,55.12,-5.08,-0.4932559682252454,-3.4564287288873694,0.6662837383173883,1.7183527645395222,1.3438111151989407,0.1,0.07104080619415279,0.09479782421416388
CVX,9.58,2.5789207541717833,0.65,10.11,0.2,138.43,44.37,-2.58,-1.5905523036921831,-1.7190176685643752,0.21867534868499294,-0.6380225343100561,1.2658868134577996,0.1,0.13998065453447747,0.08930073152389054
EQNR,4.18,2.551903114186851,0.99,18.28,0.65,23.12,47.67,-2.12,-1.2537078472232623,-1.3993340334649442,1.1698431766538329,-0.6634610303873976,1.2288793966103786,0.1,0.14146266492430876,0.08669007995445271
ENTG,3.88,6.075511831959585,0.51,8.65,1.08,75.22,43.22,-3.86,-1.707937493067716,-2.608572131449748,-0.17298199224335298,2.6541976028291683,1.210762209849525,0.1,0.059418700044746434,0.08541202095762986
ZBH,2.25,3.0337901454127,0.7,7.31,0.58,95.59,42.08,-1.41,-1.8243019416660704,-0.9059092923332135,0.3585529704451163,-0.2097396335371546,1.048258489342488,0.1,0.11899274434237647,0.07394835693778498
XOM,17.52,2.4791060193445396,0.66,14.18,0.14,106.49,46.86,-1.57,-1.3363878501747248,-1.0171036001938853,0.2466508730370177,-0.732003235132918,0.9462525057497088,0.1,0.14561661032026393,0.06675244585173208
MKC,2.43,2.382875605815832,0.46,14.73,0.79,74.28,44.19,-1.49,-1.608925637681397,-0.9615064462635494,-0.31285961400347645,-0.822609113308665,0.9193402179109025,0.1,0.15149721382032372,0.06485394516001362
