Ticker,"Avg Volume, M",ROE %,Rel Volume,Change %,Debt/Eq,ATR/Price %,Price,RSI,z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
COO,2.17,5.15,3.82,-14.61,0.31,4.2472173403632105,68.28,25.74,-2.7893808432848406,-7.858076080424889,3.014566237517889,1.20949988289656,4.2085731825123265,0.1,0.0826697346231498,0.2459040295830767
IPG,6.59,13.33,7.26,-1.44,1.17,2.5459098497495827,23.96,40.0,-1.3735064133550994,-0.632523361352879,7.273536836062248,-0.4218975990596345,2.1990075482662057,0.1,0.1379138897825478,0.1284864950071896
SNY,2.92,7.34,1.6,-5.69,0.23,2.5521571804739724,49.37,38.24,-1.5482566936269326,-2.964231717925092,0.26604451403868196,-0.4159069832133238,1.6741705451722773,0.1,0.1375762954966039,0.09782063074911339
OVV,3.99,6.17,6.0,-1.94,0.67,3.740926856504746,35.82,47.37,-0.6417396147167974,-0.9068419915378452,5.713565047060536,0.7240138522630416,1.6123151863749279,0.1,0.09385811160786091,0.09420646477885569
FBIN,2.11,18.62,5.62,-1.35,1.33,3.8492063492063493,50.4,42.61,-1.1143596909065283,-0.5831460079195852,5.2430973646631935,0.8278439316081788,1.5599620743609606,0.1,0.09121785078814024,0.09114750853711971
CPRT,5.61,18.54,2.9,0.04,0.01,2.9937791601866253,51.44,22.91,-3.0703713507673904,0.1794597839946209,1.8755392169769567,0.007567896933048432,1.3861701020725559,0.1,0.11728197426318478,0.08099296341182914
ENTG,3.96,8.65,1.55,-5.08,1.08,5.8481233633983125,68.74,36.43,-1.7279714704973979,-2.6295629890994334,0.20414087161797906,2.7446215873722024,1.2915030764452664,0.1,0.06003914565349301,0.07546163436969085
HAL,14.47,20.99,2.35,-2.44,0.83,3.6242981112812656,19.59,38.89,-1.4837182378447216,-1.1811606217228114,1.1945991503492253,0.6121776072978995,1.1104096701886919,0.1,0.09687843539187779,0.06488047149138881
TECH,2.2,6.53,5.33,0.14,0.21,4.421487603305786,48.4,45.79,-0.7986177072335567,0.23432351003161417,4.884056238623117,1.3766090443579124,1.036653312309512,0.1,0.0794113569722891,0.06057093834955692
DVN,9.43,20.88,1.92,-2.73,0.62,3.4038334434897553,30.26,40.18,-1.3556342256000256,-1.3402654272300918,0.6622278255311802,0.4007722582474144,1.0359332177720355,0.1,0.1031532054208526,0.06052886372217916
