Ticker,Price,ATR/Price %,Change %,ROE %,Debt/Eq,RSI,"Avg Volume, M",Rel Volume,z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
DOCU,75.26,5.195322880680308,-18.99,70.2,0.07,34.82,2.52,8.67,-2.1000658983377374,-8.798589646138609,12.491079728199885,2.2811350536493205,6.0846318808417665,0.1,0.05885962533068931,0.2977377273681166
LULU,265.59,5.3315260363718515,-19.71,42.49,0.4,33.67,2.46,6.32,-2.209841420159956,-9.117287915748763,8.810600796151494,2.4123167528132563,5.485383751517024,0.1,0.05735595327541462,0.2684148727322399
BF-B,28.11,4.233368907861971,3.16,23.14,0.68,24.68,3.25,3.79,-3.067999629883214,1.0058085092292923,4.848212839520672,1.3546458248858562,1.5559448776444214,0.1,0.07223437524211412,0.07613665063922043
CPRT,50.11,2.654160846138496,-0.06,18.54,0.01,21.54,5.79,0.67,-3.36773453294562,-0.4194809743050032,-0.038210253241447605,-0.16634093800111915,1.3345174706895406,0.1,0.11521334838229465,0.06530160026725927
HMY,14.56,5.013736263736264,-5.27,25.19,0.05,46.46,6.34,0.95,-0.9889467035458885,-2.7256170641229156,0.4003148961089989,2.106243063554046,1.1695359915504766,0.1,0.06099139287412787,0.057228603967949924
NEM,52.36,2.998472116119175,-3.94,16.65,0.26,48.34,13.22,1.0,-0.809487589610435,-2.1369105383152722,0.47862295849300734,0.16527646989248201,1.1104362894833508,0.1,0.10198352573796171,0.05433669344218702
TAP,51.98,2.327818391689111,0.23,7.9,0.49,30.09,2.61,0.51,-2.551577392441298,-0.29111639348980267,-0.2887960528702743,-0.48065199391344304,0.9852488138931746,0.1,0.1313653845680417,0.04821092688685448
AMH,36.68,1.9901853871319521,-0.49,5.81,0.69,40.63,2.05,1.05,-1.5454608706967885,-0.6098146630999557,0.5569310208770157,-0.8058373466811762,0.9463163756723811,0.1,0.1536513935867452,0.046305855897554954
TCOM,60.61,3.184293020953638,-2.21,12.49,0.29,44.75,3.87,0.86,-1.152178131646753,-1.3711494182797654,0.259360383817784,0.34424664068330735,0.9006120551695074,0.1,0.09603222951423625,0.044069418133706684
ED,101.61,2.0076764098021846,-0.65,8.33,1.1,39.11,2.96,0.55,-1.6905554734531127,-0.6806365007911008,-0.2261496029630676,-0.7889911725793637,0.8635863876507975,0.1,0.15231277148837458,0.04225765066491068
