Ticker,RSI,Change %,ATR/Price %,"Avg Volume, M",Rel Volume,Debt/Eq,ROE %,Price,z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
DOCU,38.68,-1.96,4.945482866043614,2.95,1.67,0.07,70.2,77.04,-1.9591059540929767,-1.4906269762644007,3.4001985055293176,2.1903127594108356,1.6684149507898622,0.1,0.06323713820543361,0.11664521202900177
BF-B,24.48,0.4,4.285199855959668,3.43,1.51,0.68,23.14,27.77,-3.4152625561270678,-0.10854993695541233,2.8253922129407796,1.5282531153862107,1.645587503628403,0.1,0.07298100298814801,0.11504925868839626
CPRT,22.82,0.26,2.4661893396976926,5.84,1.08,0.01,18.54,50.28,-3.585489313829645,-0.19053755793136928,1.2806003016090834,-0.295651841247981,1.6072946495629699,0.1,0.12681028924200102,0.1123720601416298
SE,50.45,-4.68,3.576209600305986,5.09,1.05,0.46,11.13,156.87,-0.7521367142379584,-3.0835293266544213,1.1728241217487325,0.8173551684356631,1.4953124218185128,0.1,0.08744962360870727,0.10454295821914447
GE,59.88,-3.74,2.2933884297520657,6.14,1.52,1.08,28.09,242.0,0.21487432500017417,-2.5330410143872824,2.8613176062275634,-0.4689177093356486,1.4305136334645654,0.1,0.13636511784722555,0.10001262935629758
PGR,35.67,-2.15,2.4671362386530564,3.29,0.77,0.24,34.34,265.49,-2.267770135228372,-1.6018958904460565,0.16691310971879048,-0.2947023944566184,1.4172359703754698,0.1,0.12676161883275028,0.09908433761116307
CART,44.55,-3.79,3.282028066998642,4.22,0.75,0.01,12.96,44.18,-1.357159527759166,-2.562322307592981,0.09506232314522314,0.5223820762228005,1.3385928993800158,0.1,0.09528808928760855,0.09358610248294529
LULU,31.9,-0.21,5.059961315280464,2.74,1.32,0.4,42.49,258.5,-2.6543694584444655,-0.465781714064939,2.1428097404918907,2.3050992376220565,1.290104934714464,0.1,0.061806437639784495,0.09019612511754801
LTH,40.07,-0.93,4.0676745860331165,2.28,1.31,1.47,8.24,27.78,-1.8165666810769634,-0.8874323362270033,2.1068843472051073,1.310142546774694,1.2367622708199404,0.1,0.07688377643738531,0.08646673733112067
CME,36.54,-0.84,2.0518602029312287,2.67,0.79,0.14,13.4,266.1,-2.178554906793889,-0.8347260084567453,0.23876389629235784,-0.7110958199772844,1.173510681593922,0.1,0.15241690591095589,0.082044579022753
