Ticker,Price,Debt/Eq,"Avg Volume, M",Rel Volume,ROE %,RSI,ATR/Price %,Change %,z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
BF-B,25.92,0.71,3.63,2.69,23.14,19.93,4.320987654320988,-1.97,-3.2637917447437874,-1.558280907674223,5.344824142394111,1.6173107061940168,2.594959186205724,0.1,0.056741777635461045,0.17380321737192345
CPRT,48.39,0.01,5.95,2.23,18.54,19.46,2.5211820624095886,-0.41,-3.307149980841874,-0.7684158946506555,3.9734509816303665,-0.2276548272379919,2.2439037354722577,0.1,0.09724824093533557,0.1502904904135311
TAP,49.62,0.49,2.56,1.11,7.9,21.92,2.237001209189843,-1.92,-3.0802111280731657,-1.5329647213593651,0.6344554597708164,-0.5189662232065525,1.793399261576204,0.1,0.10960231922979112,0.12011694185839307
KHC,25.79,0.44,11.21,1.2,5.36,31.61,2.0162853819309814,-1.11,-2.186293451923255,-1.1228425030586666,0.9027675999202441,-0.7452201563011103,1.4132731198578323,0.1,0.12160010822091384,0.09465714010542976
OHI,36.07,0.94,2.64,1.01,10.53,40.41,2.0515663986692543,-2.57,-1.3744796696612096,-1.862075143452518,0.3363308596047848,-0.7090538835886097,1.2709657448696225,0.1,0.11950893756404371,0.08512578417498516
ED,101.63,1.1,2.87,0.95,8.33,41.52,1.9285644002755093,-2.24,-1.272080431216792,-1.6949883137744561,0.1574560995051659,-0.8351421947926623,1.153479500127236,0.1,0.1271311036395923,0.0772568791680325
AMH,36.06,0.69,2.04,1.12,5.81,37.15,2.0521353300055463,-0.93,-1.6752197753628308,-1.031704232325178,0.6642679197874196,-0.7084706768739147,1.1511240543356787,0.1,0.11947580506125359,0.0770991178979925
PSTG,51.67,0.22,2.88,1.89,9.76,42.55,3.4255854461002517,0.04,-1.1770613180656668,-0.5405702178169342,2.95982734106586,0.6994414540089768,1.1231923603711846,0.1,0.07157331921939704,0.07522832998599635
ROST,131.15,0.9,3.45,1.02,39.57,32.23,2.813572245520396,-0.53,-2.129097480900247,-0.8291747418063146,0.366143319621388,0.07207188356771031,1.101416753514803,0.1,0.08714207393729304,0.07376985982893809
CNC,54.68,0.66,4.72,1.11,12.59,37.16,2.7249451353328458,-0.98,-1.6742972597011696,-1.0570204186400358,0.6344554597708164,-0.018779019640151717,1.0847301813376002,0.1,0.08997631455691885,0.07265223919477805
