Ticker,ATR/Price %,RSI,ROE %,"Avg Volume, M",Rel Volume,Change %,Debt/Eq,Price,z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
HIMS,13.959028108623157,36.75,36.79,40.04,4.3,-34.63,0.12,41.98,-1.6237398953281008,-11.938112002793792,7.678245579297636,9.897403162464036,5.292556963955786,0.1,0.027154814524659166,0.31185356934547726
CPRT,2.3679798826487843,18.62,18.54,6.45,1.15,-0.52,0.01,47.72,-3.4315515080951386,-0.3048450404844198,0.4561773366189655,-0.34582692984143304,1.4335569523107818,0.1,0.16007518560933084,0.08446954005082602
APA,4.9483414899401845,47.98,25.34,8.78,1.88,-7.91,1.01,18.39,-0.5039536619373761,-2.825215689897092,2.129862992858784,1.9344877707399375,1.3977330946398268,0.1,0.07660239698589348,0.08235868929220487
TAP,2.2684703433922997,17.53,7.9,2.64,1.09,0.0,0.49,48.05,-3.540239575271977,-0.12749825595199904,0.318614131996515,-0.4337654050432987,1.3908076078320244,0.1,0.16709710150643725,0.08195061852505456
SLB,3.0240142306552036,41.78,20.82,17.9,1.44,-5.89,0.72,33.73,-1.1221793651450778,-2.1362916422903804,1.1210661589608113,0.23392311899597132,1.3412857724949754,0.1,0.12534822600753337,0.07903264121926949
SMCI,6.260699437515285,48.18,21.03,47.83,1.41,-9.77,0.42,40.89,-0.4840108973177725,-3.4595714961092123,1.052284556649586,3.0942434855296996,1.281286400476392,0.1,0.06054512327533216,0.07549729555366567
HAL,3.948001925854598,45.35,20.99,15.62,1.46,-6.78,0.83,20.77,-0.7662010166851589,-2.439827485047793,1.1669205605016284,1.050468644462525,1.250447223260606,0.1,0.0960118121401661,0.0736801573431716
LULU,4.544245433587515,24.47,42.49,3.1,1.51,-0.84,0.4,225.56,-2.848225642971743,-0.4139815232736018,1.2815565643536708,1.5773803889124693,1.2403457821653578,0.1,0.08341424880630088,0.07308494968030844
NVO,3.7292025243832474,43.55,87.53,10.13,1.51,-5.49,0.86,69.72,-0.945685898261589,-1.999871038803903,1.2815565643536708,0.857111445904121,1.2015450962532441,0.1,0.1016450076807924,0.07079869513885491
FANG,3.712362734679419,46.84,14.26,2.66,1.71,-5.17,0.36,141.15,-0.6176274202691142,-1.8907345560147208,1.7401005797618403,0.8422298029949137,1.141723827352219,0.1,0.10210608346355436,0.06727384385116716
