Ticker,Change %,RSI,"Avg Volume, M",ATR/Price %,Debt/Eq,Rel Volume,Price,ROE %,z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
AU,-5.35,43.12,3.4,4.010938924339107,0.33,10.98,43.88,19.42,-1.132544860133226,-2.9135316379296508,7.644805802445162,1.353986894420429,2.8096892453689963,0.1,0.07405821309841412,0.19613577498425536
PLTR,-9.37,48.26,97.72,5.155270001529753,0.05,2.04,130.74,12.41,-0.66818695447264,-5.019271565311792,0.4883069674860261,2.488803091432976,1.8393915662784586,0.1,0.05761928463403202,0.1284022747163802
BAM,0.0,49.17,2.27,2.4492017416545724,0.18,10.1,55.12,19.09,-0.5859757299296176,-0.11111656044346782,6.940362964104665,-0.1947647612089406,1.651531370572407,0.1,0.12128154432176765,0.11528833155194268
AEM,-5.63,44.5,3.78,3.0916293489493625,0.06,1.3,116.12,11.45,-1.0078728932438077,-3.0602000905831335,-0.10406541930030054,0.44232119118513724,1.3587803413608555,0.1,0.09607974826748703,0.0948522815202584
KGC,-6.18,46.51,21.69,3.429724277067922,0.17,1.24,14.87,18.12,-0.8262854632092208,-3.3482988368667597,-0.15209561282351625,0.7776049287365677,1.352924889588233,0.1,0.08660841093540386,0.09444353041968771
KHC,-0.7,33.59,11.62,1.8742678641155797,0.44,2.93,25.61,5.36,-1.9935041677101484,-0.477787692077174,1.200754838080392,-0.7649181804835792,1.181594936589999,0.1,0.15848480106315896,0.08248351271854458
TAP,0.42,19.57,2.6,2.1922428330522767,0.49,1.28,47.44,7.9,-3.260099077702642,0.1088861185367559,-0.12007548380803912,-0.44958710874531793,1.123868149820984,0.1,0.1354972930484413,0.07845378306820928
GFI,-3.99,42.9,3.92,3.8915609969392215,0.57,1.17,22.87,25.35,-1.152420101231539,-2.2011420107555932,-0.20813083860060125,1.235601570208345,1.0085604144545415,0.1,0.07633003049857341,0.07040450428228916
HMY,-3.67,37.57,6.03,4.402985074626866,0.05,0.78,13.4,25.19,-1.6339429878406677,-2.0335209220087562,-0.5203270965015031,1.7427732607010709,1.0052696230768905,0.1,0.06746399648166027,0.07017478424537371
KVUE,-1.09,31.96,18.89,2.346743295019157,0.88,1.28,20.88,10.22,-2.1407616358476496,-0.6820758939873818,-0.12007548380803912,-0.29637128669810553,0.9936151673504636,0.1,0.1265766776510614,0.06936122249305891
