Ticker,Rel Volume,Change %,ATR/Price %,Debt/Eq,RSI,Price,"Avg Volume, M",ROE %,z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
CTRA,3.42,-8.63,4.330879168471199,0.3,33.21,23.09,6.86,9.41,-2.1332817226586194,-3.4900326307630216,4.570532929855585,0.4858747418301791,2.833679135485673,0.1,0.1033516470134555,0.16862968528085756
LSCC,1.94,-10.58,7.311873800895333,0.03,46.06,46.91,3.1,7.39,-0.7698888733608761,-4.305660341030976,2.11707472117385,2.9953597547390594,1.900321193798012,0.1,0.06121597654255937,0.11308639740814526
PLTR,1.73,-12.11,7.014157014157014,0.05,55.04,108.78,111.73,12.41,0.1828946119849394,-4.945614390625834,1.7689488942663067,2.7447334012780846,1.7462683612497654,0.1,0.06381429645420586,0.10391885252138691
SKX,7.74,0.02,5.146579804560261,0.48,68.69,61.4,4.67,14.67,1.6311679499549154,0.12800823786149854,11.73197851195362,1.1725544490060147,1.6134285917543778,0.1,0.08697105885371725,0.09601367785207858
EXEL,1.23,-7.76,3.619047619047619,0.1,47.08,36.75,2.6,23.13,-0.6616662503037793,-3.126137190797318,0.9400778778197749,-0.11336505067543294,1.5250832850168823,0.1,0.12367991311359242,0.09075632846321373
TMO,1.41,-3.54,3.79808990695048,0.69,32.08,407.31,2.29,13.73,-2.2531754129081487,-1.3610351716533327,1.2384714437405264,0.037357776290469505,1.5089322157155767,0.1,0.11784963127351239,0.08979519292068813
GILD,0.92,-5.02,3.8406390823433023,1.43,34.6,97.64,9.6,32.58,-1.9858018735906144,-1.980075690215678,0.4261778476229252,0.07317686727390023,1.4659750301293972,0.1,0.11654401402504742,0.08723884961588864
BDX,1.09,-1.18,4.356783615100285,0.76,20.14,165.03,2.54,5.97,-3.5200167063412264,-0.3739165069187816,0.7079939932147461,0.5076818326166944,1.4537072400222824,0.1,0.10273714157535918,0.086508804509882
TSN,1.93,-0.78,2.8936017253774264,0.49,31.2,55.64,2.65,5.01,-2.346543950447605,-0.20660825865868826,2.10049730084492,-0.7240657805728288,1.3861093114134695,0.1,0.15468731966538346,0.08248611284934992
AVTR,0.81,-4.63,6.473029045643153,0.67,28.68,12.05,10.31,12.52,-2.613917489765139,-1.8169501481620869,0.24382622400468817,2.289196677970709,1.3706492502783958,0.1,0.06914900148316724,0.08156609857850924
