Ticker,ROE %,Price,Debt/Eq,Change %,"Avg Volume, M",RSI,Rel Volume,ATR/Price %,z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
DECK,41.82,101.05,0.11,-19.86,3.22,33.64,6.07,6.729341909945571,-1.8848366713554043,-9.33176237462663,8.739769334015485,3.296060417476724,5.3441574911491365,0.1,0.05170931557528518,0.22880477161094306
CPRT,18.54,53.67,0.01,-11.52,5.14,26.62,4.05,3.0743432084963667,-2.580096719166057,-5.341776885649402,5.391431018359575,-0.08266495755047831,3.8592084611123734,0.1,0.11318504175906782,0.16522816028648996
ROST,39.57,137.26,0.9,-9.85,3.24,38.14,5.72,3.300305988634708,-1.439157153528063,-4.542822956801444,8.159611705065203,0.12621779219233098,3.7129936004091353,0.1,0.10543557646887106,0.15896811689055018
WDAY,5.7,238.01,0.38,-12.52,2.25,38.24,4.41,3.504054451493635,-1.4292531642430106,-5.820192411905665,5.988164579565579,0.31456535612204983,3.7034823319529466,0.1,0.09930486790439076,0.158560901420113
ONB,9.29,20.61,0.86,-0.67,3.17,43.61,4.13,3.008248423095585,-0.8974089396357168,-0.150968425768958,5.524038476405354,-0.14376378324966513,1.4861161514976733,0.1,0.11567185135504728,0.0636265804654726
FI,11.88,159.34,1.1,-1.24,4.39,31.79,1.9,4.361742186519392,-2.068060473128867,-0.4236652757350274,1.8276055833792777,1.107422358514998,1.1268828929267187,0.1,0.07977767817428995,0.04824636687361828
AAPL,138.02,195.27,1.47,-3.02,61.23,38.66,1.27,3.2416653863880778,-1.3876564092457926,-1.2752449124711742,0.7833218512687723,0.07200970431010859,1.081478862423682,0.1,0.10734286946965921,0.04630243860304072
NUE,6.54,108.49,0.39,-1.99,2.55,36.15,1.53,3.382800258088303,-1.6362465403005986,-0.782476920427224,1.2142960899175526,0.20247650095375366,1.069164779142873,0.1,0.10286438390897291,0.04577522341199706
CRM,10.26,273.13,0.2,-3.63,6.89,45.95,1.29,2.6251235675319444,-0.6656555903654988,-1.5670783834874942,0.816473715780217,-0.49792907222315935,0.9945445412269069,0.1,0.13255363242291773,0.04258043236734811
CNC,12.59,56.41,0.66,-2.86,4.96,37.32,1.05,3.7759262542102463,-1.5203698656654896,-1.1986984282701723,0.4186513416428814,0.5658869662306356,0.9788154745829944,0.1,0.09215478296149812,0.041907008070426834
