Ticker,Change %,Price,Debt/Eq,ATR/Price %,"Avg Volume, M",Rel Volume,ROE %,RSI,z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
CDNS,-10.67,288.61,0.52,3.499532240740099,2.18,3.17,25.92,41.55,-1.1863719679252924,-7.2515844079493625,7.105735801138975,0.4352576195016682,4.330906129833758,0.1,0.10846129956434229,0.2274047264750633
JHX,-4.87,22.07,0.56,4.123244222927051,2.52,1.63,21.05,34.3,-1.8861937127598405,-3.0199170650306804,2.5348692731684666,1.0342562671578697,2.120687000144589,0.1,0.09205465264158844,0.11135181247292796
PDD,-4.95,97.88,0.03,5.629342051491623,10.68,1.74,36.31,33.25,-1.9875472068393265,-3.0782848904502482,2.8613597394520744,2.480677994354557,2.09724538250631,0.1,0.06742596403382732,0.11012095350546046
FBIN,-3.08,49.99,1.33,4.0808161632326465,2.05,2.48,18.62,40.85,-1.2539409639782828,-1.713936971267845,5.057750148996345,0.9935093341095208,1.9509563737244615,0.1,0.09301174067035449,0.10243969442686174
CPRT,-1.46,52.05,0.01,3.131604226705091,5.56,1.8,18.54,23.83,-2.8968328394381464,-0.5319885065215921,3.039445448334043,0.0819080140170292,1.7997857593510143,0.1,0.12120427334374337,0.0945021148113967
DECK,-4.26,104.32,0.11,6.480061349693251,3.52,1.4,41.82,38.79,-1.4527868666485133,-2.5748623962064734,1.852207389120923,3.2976892490863383,1.4503497949147963,0.1,0.058574108209014625,0.0761541323035841
TAP,-2.27,52.96,0.49,2.492447129909366,2.6,1.15,7.9,30.95,-2.209559622442011,-1.1229627388947185,1.1101836021127236,-0.531923766604024,1.4416119235508023,0.1,0.15228560323034343,0.07569532918295872
CELH,-5.7,34.93,0.02,5.2104208416833675,8.11,0.78,9.19,44.01,-0.9489152103676387,-3.6254832537586985,0.011988397340588597,2.0783556960562537,1.3956015723067103,0.1,0.07284705520549804,0.07327944414042468
DHI,-3.37,117.39,0.27,2.921884317233155,3.65,0.94,17.83,40.11,-1.3253710455200163,-1.9255203384137791,0.48688362102583604,-0.11950216527726046,1.2471389251097218,0.1,0.12990377903031067,0.06548405290692988
JD,-2.95,31.58,0.37,3.6415452818239396,15.0,0.87,19.81,34.74,-1.8437217723836745,-1.619089254961047,0.2791169606635403,0.5716436790743822,1.2106428837959222,0.1,0.10423152407097733,0.06356773977439246
