Ticker,"Avg Volume, M",RSI,Price,Debt/Eq,Rel Volume,ROE %,Change %,ATR/Price %,z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
COO,2.27,24.44,67.0,0.31,2.23,5.15,-1.87,4.3283582089552235,-2.903181503179344,-1.2321220486755808,3.9904582031402804,1.3598706496503838,2.1094608188122415,0.1,0.07396564594601689,0.14454518564808574
IPG,7.24,31.62,22.87,1.17,1.3,13.33,-4.55,2.8421512898994314,-2.211517870886428,-2.6249852071419872,1.3311495001225513,-0.10381738290192656,1.9693877156246484,0.1,0.11264347958846561,0.13494704923142817
CPRT,5.78,21.94,50.8,0.01,1.24,18.54,-1.32,2.992125984251969,-3.1440114587130896,-0.9462732661544897,1.1595811967020524,0.04388490706518072,1.6591274023375453,0.1,0.10699743677108409,0.11368728740822966
LYB,4.12,37.25,54.44,1.04,1.21,7.19,-3.63,3.637031594415871,-1.6691688110244338,-2.1468381527430718,1.0737970449918028,0.6790189598136687,1.4824599503356206,0.1,0.0880250287906932,0.10158162068057217
JHX,2.74,49.27,23.91,0.56,3.85,21.05,2.62,3.805938937682978,-0.5112583848181865,1.1014434668147801,8.622802395493746,0.8453670327370116,1.4334589971262404,0.1,0.08411848325817392,0.09822396083905345
CNC,4.89,35.97,54.91,0.66,1.1,12.59,-2.71,3.587688945547259,-1.7924737482577116,-1.668691098344156,0.7592551553875557,0.6304239467522964,1.300216332712935,0.1,0.08923566554131208,0.08909386205167177
BDX,2.84,35.0,169.4,0.76,1.15,5.97,-1.85,2.7036599763872493,-1.8859157710048045,-1.2217275474929956,0.9022287415713041,-0.2402102872823034,1.292141938516721,0.1,0.11841348897686323,0.08854058568944725
CRM,7.19,37.38,261.62,0.2,1.28,10.31,-1.41,3.0808042198608674,-1.656645653336679,-0.9930485214761228,1.2739600656490515,0.1312194972520309,1.1690630245890878,0.1,0.10391760980695362,0.08010693084059747
TAP,2.61,33.06,52.87,0.49,0.81,7.9,-1.34,2.439947039909211,-2.0727998164989905,-0.9566677673370748,-0.06999164447818813,-0.4999274667699074,1.096308072123976,0.1,0.1312117868029752,0.07512159145097627
BEKE,9.52,35.57,18.0,0.32,0.75,6.53,-2.49,3.5000000000000004,-1.8310065411431107,-1.5543515853357197,-0.24155994789868698,0.5440636569844384,1.0821569889894092,0.1,0.09147137451746223,0.07415192615993799
